129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,
129,129,0,129,0,129,0,129,0,129,0,129,0,129,0,129,0,129,0,0,129,
129,0,129,0,129,0,129,0,129,0,129,0,130,0,130,0,130,0,130,0,129,
129,129,0,129,0,129,0,129,0,129,0,129,0,129,0,129,0,129,0,0,129,
129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,0,0,0,0,129,
129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,
129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,
129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,
129,0,0,0,0,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,
129,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,129,
129,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,129,
231,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,129,
129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,0,0,0,0,129,
129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,
129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,
129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,
129,0,0,0,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,
129,0,0,0,0,129,0,129,0,129,0,129,0,129,0,129,0,129,0,0,129,
129,0,0,0,0,0,130,0,130,0,130,0,130,0,130,0,130,0,130,0,129,
129,0,0,0,0,129,0,129,0,129,0,129,0,129,0,129,0,129,0,0,129,
129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,
